AdditionalFields,ClientVersion,DeviceId,DeviceName,DeviceObjectId,IsAzureADJoined,LoggedOnUsers,MachineGroup,OSArchitecture,OSBuild,OSPlatform,OSVersion,RegistryDeviceTag,ReportId,"TimeGenerated [UTC]","Timestamp [UTC]",AadDeviceId,DeviceCategory,DeviceSubtype,DeviceType,JoinType,MergedDeviceIds,MergedToDeviceId,Model,OnboardingStatus,OSDistribution,OSVersionInfo,Vendor,SensorHealthState,IsExcluded,ExclusionReason,AssetValue,ExposureLevel,IsInternetFacing,DeviceManualTags,DeviceDynamicTags,AwsResourceName,GcpFullResourceName,CloudPlatforms,HardwareUuid,HostDeviceId,IsTransient,MitigationStatus,OsBuildRevision,RestrictedDeviceSecurityOperations,SourceSystem,Type
,"10.8798.17763.7792",0220e4c274577c1dba179f1812d031a7757ffaae,"kingslanding.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC01",639032708533704200,"1/6/2026, 4:33:05.224 AM","1/6/2026, 4:33:05.224 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","e0790d1a-da7c-44af-82e6-7ba7ca1d5359",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",71a0557094bd79802ccb878bb11ac78612973c24,"castelblack.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-SRV02",639032441564784400,"1/5/2026, 9:08:20.802 PM","1/5/2026, 9:08:20.802 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","dd0932af-112f-478a-a873-d64f7666785a",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",71a0557094bd79802ccb878bb11ac78612973c24,"castelblack.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-SRV02",639032405402423800,"1/5/2026, 8:08:12.475 PM","1/5/2026, 8:08:12.475 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","dd0932af-112f-478a-a873-d64f7666785a",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",0220e4c274577c1dba179f1812d031a7757ffaae,"kingslanding.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC01",639032456007627000,"1/5/2026, 9:32:25.622 PM","1/5/2026, 9:32:25.622 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","e0790d1a-da7c-44af-82e6-7ba7ca1d5359",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",0220e4c274577c1dba179f1812d031a7757ffaae,"kingslanding.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC01",639032420165121000,"1/5/2026, 8:32:22.034 PM","1/5/2026, 8:32:22.034 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","e0790d1a-da7c-44af-82e6-7ba7ca1d5359",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",536672e83b4ef2f109c5d44e37a947eedcfb6b4b,"winterfell.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC02",639032769434876300,"1/6/2026, 6:14:55.224 AM","1/6/2026, 6:14:55.224 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","b5d0c01c-bf08-4354-8e81-9412ae4ffb7e",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",0220e4c274577c1dba179f1812d031a7757ffaae,"kingslanding.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC01",639032491961488600,"1/5/2026, 10:32:27.457 PM","1/5/2026, 10:32:27.457 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","e0790d1a-da7c-44af-82e6-7ba7ca1d5359",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",0220e4c274577c1dba179f1812d031a7757ffaae,"kingslanding.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC01",639032780599350400,"1/6/2026, 6:33:13.818 AM","1/6/2026, 6:33:13.818 AM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","e0790d1a-da7c-44af-82e6-7ba7ca1d5359",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",71a0557094bd79802ccb878bb11ac78612973c24,"castelblack.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-SRV02",639032477710412800,"1/5/2026, 10:08:24.608 PM","1/5/2026, 10:08:24.608 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","dd0932af-112f-478a-a873-d64f7666785a",,false,,7792,,,DeviceInfo
,"10.8798.17763.7792",536672e83b4ef2f109c5d44e37a947eedcfb6b4b,"winterfell.north.sevenkingdoms.local",,false,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,"64-bit",17763,WindowsServer2019,"10.0","GOADa7ff41-GOAD-DC02",639032511123387100,"1/5/2026, 11:04:18.996 PM","1/5/2026, 11:04:18.996 PM",,Endpoint,,Server,"Domain Joined",,,,Onboarded,WindowsServer2019,1809,,Active,false,,,Medium,,,,,,"[""Arc""]","b5d0c01c-bf08-4354-8e81-9412ae4ffb7e",,false,,7792,,,DeviceInfo
