AdditionalFields,ClientVersion,DeviceId,DeviceName,DeviceObjectId,IsAzureADJoined,LoggedOnUsers,MachineGroup,OSArchitecture,OSBuild,OSPlatform,OSVersion,RegistryDeviceTag,ReportId,TimeGenerated,Timestamp,AadDeviceId,DeviceCategory,DeviceSubtype,DeviceType,JoinType,MergedDeviceIds,MergedToDeviceId,Model,OnboardingStatus,OSDistribution,OSVersionInfo,Vendor,SensorHealthState,IsExcluded,ExclusionReason,AssetValue,ExposureLevel,IsInternetFacing,DeviceManualTags,DeviceDynamicTags,AwsResourceName,GcpFullResourceName,CloudPlatforms,HardwareUuid,HostDeviceId,IsTransient,MitigationStatus,OsBuildRevision,RestrictedDeviceSecurityOperations,SourceSystem,Type
,10.8798.17763.7792,0220e4c274577c1dba179f1812d031a7757ffaae,kingslanding.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-DC01,639032708533704200,2026-01-06T04:33:05.224000Z,2026-01-06T04:33:05.224000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",e0790d1a-da7c-44af-82e6-7ba7ca1d5359,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,71a0557094bd79802ccb878bb11ac78612973c24,castelblack.north.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-SRV02,639032441564784400,2026-01-05T21:08:20.802000Z,2026-01-05T21:08:20.802000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",dd0932af-112f-478a-a873-d64f7666785a,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,71a0557094bd79802ccb878bb11ac78612973c24,castelblack.north.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-SRV02,639032405402423800,2026-01-05T20:08:12.475000Z,2026-01-05T20:08:12.475000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",dd0932af-112f-478a-a873-d64f7666785a,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,0220e4c274577c1dba179f1812d031a7757ffaae,kingslanding.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-DC01,639032456007627000,2026-01-05T21:32:25.622000Z,2026-01-05T21:32:25.622000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",e0790d1a-da7c-44af-82e6-7ba7ca1d5359,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,0220e4c274577c1dba179f1812d031a7757ffaae,kingslanding.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-DC01,639032420165121000,2026-01-05T20:32:22.034000Z,2026-01-05T20:32:22.034000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",e0790d1a-da7c-44af-82e6-7ba7ca1d5359,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,536672e83b4ef2f109c5d44e37a947eedcfb6b4b,winterfell.north.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-DC02,639032769434876300,2026-01-06T06:14:55.224000Z,2026-01-06T06:14:55.224000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",b5d0c01c-bf08-4354-8e81-9412ae4ffb7e,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,0220e4c274577c1dba179f1812d031a7757ffaae,kingslanding.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-DC01,639032491961488600,2026-01-05T22:32:27.457000Z,2026-01-05T22:32:27.457000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",e0790d1a-da7c-44af-82e6-7ba7ca1d5359,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,0220e4c274577c1dba179f1812d031a7757ffaae,kingslanding.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""SEVENKINGDOMS"",""Sid"":""S-1-5-21-3730121682-1558260717-1313176974-1000""}]",GOAD,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-DC01,639032780599350400,2026-01-06T06:33:13.818000Z,2026-01-06T06:33:13.818000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",e0790d1a-da7c-44af-82e6-7ba7ca1d5359,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,71a0557094bd79802ccb878bb11ac78612973c24,castelblack.north.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""CASTELBLACK"",""Sid"":""S-1-5-21-2428024234-3189697923-2318280212-1000""}]",UnassignedGroup,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-SRV02,639032477710412800,2026-01-05T22:08:24.608000Z,2026-01-05T22:08:24.608000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",dd0932af-112f-478a-a873-d64f7666785a,,False,,7792,,,DeviceInfo
,10.8798.17763.7792,536672e83b4ef2f109c5d44e37a947eedcfb6b4b,winterfell.north.sevenkingdoms.local,,False,"[{""UserName"":""localuser"",""DomainName"":""NORTH"",""Sid"":""S-1-5-21-2975077076-1813412092-533620653-1000""}]",UnassignedGroup,64-bit,17763,WindowsServer2019,10.0,GOADa7ff41-GOAD-DC02,639032511123387100,2026-01-05T23:04:18.996000Z,2026-01-05T23:04:18.996000Z,,Endpoint,,Server,Domain Joined,,,,Onboarded,WindowsServer2019,1809,,Active,False,,,Medium,,,,,,"[""Arc""]",b5d0c01c-bf08-4354-8e81-9412ae4ffb7e,,False,,7792,,,DeviceInfo
